shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10385,45.387382,-73.989748,130046,32.937
10385,45.387315,-73.990385,130047,32.987
10385,45.387252,-73.991105,130048,33.044
10385,45.387234,-73.991317,130049,33.061
10385,45.387222,-73.991493,130050,33.075
10385,45.387172,-73.992275,130051,33.136
10385,45.387172,-73.992267,140001,33.136
10385,45.387128,-73.992962,140002,33.191
10385,45.387087,-73.993891,140003,33.264
10385,45.386959,-73.996592,140004,33.476
10385,45.386830,-73.999282,140005,33.687
10385,45.386701,-74.001952,140006,33.897
10385,45.386589,-74.004255,140007,34.077
10385,45.386512,-74.005811,140008,34.200
10385,45.386489,-74.006249,140009,34.234
10385,45.386443,-74.007323,140010,34.318
10385,45.386400,-74.008252,140011,34.391
10385,45.386400,-74.008252,150001,34.391
10385,45.386338,-74.009492,150002,34.489
10385,45.386345,-74.009921,150003,34.522
10385,45.386319,-74.010586,150004,34.574
10385,45.386294,-74.011439,150005,34.641
10385,45.386285,-74.011933,150006,34.680
10385,45.386282,-74.012196,150007,34.701
10385,45.386263,-74.012642,150008,34.736
10385,45.386181,-74.014548,150009,34.885
10385,45.386036,-74.017449,150010,35.113
10385,45.385976,-74.018702,150011,35.211
10385,45.385962,-74.019122,150012,35.244
10385,45.385925,-74.019819,150013,35.299
10385,45.385917,-74.020289,150014,35.336
10385,45.385918,-74.020496,150015,35.352
10385,45.385919,-74.020663,150016,35.365
10385,45.385926,-74.020781,150017,35.374
10385,45.385932,-74.020899,150018,35.384
10385,45.385949,-74.021039,150019,35.395
10385,45.385983,-74.021317,150020,35.417
10385,45.386113,-74.021866,150021,35.462
10385,45.386135,-74.021934,150022,35.468
10385,45.386202,-74.022148,150023,35.487
10385,45.386318,-74.022481,150024,35.516
10385,45.386434,-74.022753,150025,35.541
10385,45.386691,-74.023325,150026,35.594
10385,45.387031,-74.024073,150027,35.663
10385,45.387611,-74.025336,150028,35.782
10385,45.387985,-74.026205,150029,35.861
10385,45.388335,-74.026926,150030,35.930
10385,45.388522,-74.027338,150031,35.968
10385,45.389266,-74.028981,150032,36.121
10385,45.390182,-74.031008,150033,36.310
10385,45.391255,-74.033381,150034,36.531
10385,45.392107,-74.035256,150035,36.706
10385,45.392711,-74.036573,150036,36.829
