service_id,date,exception_type
TRAIN-H25-TRKPI-Semaine-09,20250305,2
TRAIN-H25-TRKPI-Semaine-09,20250306,2
TRAIN-H25-TRKPI-Semaine-09,20250307,2
TRAIN-H25-TRKPI-Semaine-09,20250310,2
TRAIN-H25-TRKPI-Semaine-09,20250311,2
TRAIN-H25-TRKPI-Semaine-09,20250312,2
TRAIN-H25-TRKPI-Semaine-09,20250313,2
TRAIN-H25-TRKPI-Semaine-09,20250314,2
TRAIN-H25-TRKPI-Semaine-09,20250317,2
TRAIN-H25-TRKPI-Semaine-09,20250318,2
TRAIN-H25-TRKPI-Semaine-09,20250319,2
TRAIN-H25-TRKPI-Semaine-09,20250320,2
TRAIN-H25-TRKPI-Semaine-09,20250321,2
TRAIN-H25-TRKPI-Semaine-09,20250324,2
TRAIN-H25-TRKPI-Semaine-09,20250325,2
TRAIN-H25-TRKPI-Semaine-09,20250326,2
TRAIN-H25-TRKPI-Semaine-09,20250327,2
TRAIN-H25-TRKPI-Semaine-09,20250328,2
TRAIN-H25-TRKPI-Semaine-09,20250331,2
TRAIN-H25-TRKPI-Semaine-09,20250401,2
TRAIN-H25-TRKPI-Semaine-09,20250402,2
TRAIN-H25-TRKPI-Semaine-09,20250403,2
TRAIN-H25-TRKPI-Semaine-09,20250404,2
TRAIN-H25-TRKPI-Semaine-09,20250407,2
TRAIN-H25-TRKPI-Semaine-09,20250408,2
TRAIN-H25-TRKPI-Semaine-09,20250409,2
TRAIN-H25-TRKPI-Semaine-09,20250410,2
TRAIN-H25-TRKPI-Semaine-09,20250418,2
TRAIN-H25-TRKPI-Semaine-09,20250519,2
TRAIN-H25-TRKPI-Fête-1-01,20250418,1
TRAIN-H25-TRKPI-Fête-1-01,20250519,1
